,Unnamed: 0.1,Unnamed: 0,poster,title,certificate,runtime,genre,rating,about,director,stars,votes,gross_earn,clean about
3085,3085,3085,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,naked lunch,18,115 min,['drama'],6.9,"After developing an addiction to the substance he uses to kill bugs, an exterminator accidentally kills his wife, and becomes involved in a secret government plot being orchestrated by giant bugs in a port town in North Africa.",david cronenberg,"('Peter Weller',), ('Judy Davis',), ('Ian Holm',), ('Julian Sands',)","51,724",$2.54M,"['developing', 'addiction', 'substance', 'uses', 'kill', 'bugs', 'exterminator', 'accidentally', 'kills', 'wife', 'becomes', 'involved', 'secret', 'government', 'plot', 'orchestrated', 'giant', 'bugs', 'port', 'town', 'north', 'africa']"
3086,3086,3086,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,parenthood,15,124 min,"['comedy', 'drama']",7.0,Three Buckman siblings attempt to raise their children - each in their own different style - and deal with the joys and sorrows that the process brings.,ron howard,"('Steve Martin',), ('Mary Steenburgen',), ('Dianne Wiest',), ('Jason Robards',)","49,772",$100.05M,"['three', 'buckman', 'siblings', 'attempt', 'raise', 'children', 'different', 'style', 'deal', 'joys', 'sorrows', 'process', 'brings']"
3087,3087,3087,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,black death,15,102 min,"['action', 'drama', 'horror']",6.4,"Set during the time of the first outbreak of bubonic plague in England, a young monk is given the task of learning the truth about reports of people being brought back to life in a small village.",christopher smith,"('Eddie Redmayne',), ('Sean Bean',), ('Carice van Houten',), ('Kimberley Nixon',)","48,146",$0.02M,"['set', 'time', 'first', 'outbreak', 'bubonic', 'plague', 'england', 'young', 'monk', 'given', 'task', 'learning', 'truth', 'reports', 'people', 'brought', 'back', 'life', 'small', 'village']"
3088,3088,3088,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,under the tuscan sun,12A,113 min,"['comedy', 'drama', 'romance']",6.7,A writer impulsively buys a villa in Tuscany in order to change her life.,audrey wells,"('Diane Lane',), ('Raoul Bova',), ('Sandra Oh',), ('Lindsay Duncan',)","53,001",$43.61M,"['writer', 'impulsively', 'buys', 'villa', 'tuscany', 'order', 'change', 'life']"
3089,3089,3089,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,the avengers,12,89 min,"['action', 'adventure', 'sci-fi']",3.8,Two British Agents team up to stop Sir August de Wynter from destroying the world with a weather-changing machine.,jeremiah s. chechik,"('Ralph Fiennes',), ('Uma Thurman',), ('Sean Connery',), ('Patrick Macnee',)","43,882",$23.32M,"['two', 'british', 'agents', 'team', 'stop', 'sir', 'august', 'de', 'wynter', 'destroying', 'world', 'weatherchanging', 'machine']"
3090,3090,3090,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,edtv,12,122 min,"['comedy', 'drama']",6.1,A video store clerk agrees to have his life filmed by a camera crew for a television show.,ron howard,"('Matthew McConaughey',), ('Jenna Elfman',), ('Geoffrey Blake',), ('Gail Boggs',)","43,534",$22.36M,"['video', 'store', 'clerk', 'agrees', 'life', 'filmed', 'camera', 'crew', 'television', 'show']"
3091,3091,3091,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,flyboys,12A,140 min,"['action', 'drama', 'history']",6.5,"The adventures of the Lafayette Escadrille, young Americans who volunteered for the French military before the U.S. entered World War I, and became the country's first fighter pilots.",tony bill,"('James Franco',), ('Jean Reno',), ('Jennifer Decker',), ('Scott Hazell',)","42,916",$13.08M,"['adventures', 'lafayette', 'escadrille', 'young', 'americans', 'volunteered', 'french', 'military', 'us', 'entered', 'world', 'war', 'became', 'countrys', 'first', 'fighter', 'pilots']"
3092,3092,3092,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,deconstructing harry,15,96 min,['comedy'],7.3,"Suffering from writer's block and eagerly awaiting his writing award, Harry Block remembers events from his past and scenes from his best-selling books as characters, real and fictional, come back to haunt him.",woody allen,"('Woody Allen',), ('Judy Davis',), ('Julia Louis-Dreyfus',), ('Stephanie Roth Haberle',)","45,190",$10.69M,"['suffering', 'writers', 'block', 'eagerly', 'awaiting', 'writing', 'award', 'harry', 'block', 'remembers', 'events', 'past', 'scenes', 'bestselling', 'books', 'characters', 'real', 'fictional', 'come', 'back', 'haunt']"
3093,3093,3093,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,shall we dance,12A,106 min,"['comedy', 'drama', 'music']",6.1,"A romantic comedy where a bored, overworked Estate Lawyer, upon first sight of a beautiful instructor, signs up for ballroom dancing lessons.",peter chelsom,"('Richard Gere',), ('Jennifer Lopez',), ('Susan Sarandon',), ('Stanley Tucci',)","47,153",$57.89M,"['romantic', 'comedy', 'bored', 'overworked', 'estate', 'lawyer', 'upon', 'first', 'sight', 'beautiful', 'instructor', 'signs', 'ballroom', 'dancing', 'lessons']"
3094,3094,3094,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,carriers,15,85 min,"['action', 'adventure', 'drama']",6.0,"As a lethal virus spreads globally, four friends seek a reputed plague-free haven. But while avoiding the infected, the travelers turn on one another.",david pastor,"('Àlex Pastor',), ('Chris Pine',), ('Piper Perabo',), ('Lou Taylor Pucci',)","47,272",$0.09M,"['lethal', 'virus', 'spreads', 'globally', 'four', 'friends', 'seek', 'reputed', 'plaguefree', 'avoiding', 'infected', 'travelers', 'turn', 'one', 'another']"
3095,3095,3095,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,soul surfer,PG,112 min,"['biography', 'drama', 'family']",7.0,Teenage surfer Bethany Hamilton overcomes the odds and her own fears of returning to the water after losing her left arm in a shark attack.,sean mcnamara,"('AnnaSophia Robb',), ('Dennis Quaid',), ('Helen Hunt',), ('Carrie Underwood',)","49,745",$43.85M,"['teenage', 'surfer', 'bethany', 'hamilton', 'overcomes', 'odds', 'fears', 'returning', 'water', 'losing', 'left', 'arm', 'shark', 'attack']"
3096,3096,3096,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,arthur christmas,U,97 min,"['animation', 'adventure', 'comedy']",7.1,Santa's clumsy son Arthur sets out on a mission with Grandsanta to give out a present they misplaced to a young girl in less than two hours.,sarah smith,"('Barry Cook',), ('James McAvoy',), ('Jim Broadbent',), ('Bill Nighy',)","58,835",$46.46M,"['santas', 'clumsy', 'son', 'arthur', 'sets', 'mission', 'grandsanta', 'give', 'present', 'misplaced', 'young', 'girl', 'less', 'two', 'hours']"
3097,3097,3097,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,moonstruck,PG,102 min,"['comedy', 'drama', 'romance']",7.1,"Loretta Castorini, a bookkeeper from Brooklyn, New York, finds herself in a difficult situation when she falls for the brother of the man she has agreed to marry.",norman jewison,"('Cher',), ('Nicolas Cage',), ('Olympia Dukakis',), ('Danny Aiello',)","59,644",$80.64M,"['loretta', 'castorini', 'bookkeeper', 'brooklyn', 'new', 'york', 'finds', 'difficult', 'situation', 'falls', 'brother', 'man', 'agreed', 'marry']"
3098,3098,3098,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,lilya 4-ever,18,109 min,"['crime', 'drama']",7.8,"Sixteen-year-old Lilja and her only friend, the young boy Volodja, live in Russia, fantasizing about a better life. One day, Lilja falls in love with Andrej, who is going to Sweden, and invites Lilja to come along and start a new life.",lukas moodysson,"('Oksana Akinshina',), ('Artyom Bogucharskiy',), ('Pavel Ponomaryov',), ('Lyubov Agapova',)","45,697",$0.18M,"['sixteenyearold', 'lilja', 'friend', 'young', 'boy', 'volodja', 'live', 'russia', 'fantasizing', 'better', 'life', 'one', 'day', 'lilja', 'falls', 'love', 'andrej', 'going', 'sweden', 'invites', 'lilja', 'come', 'along', 'start', 'new', 'life']"
3099,3099,3099,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,balls of fury,12,90 min,"['comedy', 'crime', 'sport']",5.3,"Down-and-out former professional ping-pong phenom, Randy Daytona, is sucked into a maelstrom when FBI Agent Ernie Rodriguez recruits him for a secret mission. Randy is determined to bounce back and win, and to smoke out his father's killer -- arch-fiend Feng.",robert ben garant,"('Dan Fogler',), ('Christopher Walken',), ('George Lopez',), ('Maggie Q',)","42,806",$32.84M,"['downandout', 'former', 'professional', 'pingpong', 'phenom', 'randy', 'daytona', 'sucked', 'maelstrom', 'fbi', 'agent', 'ernie', 'rodriguez', 'recruits', 'secret', 'mission', 'randy', 'determined', 'bounce', 'back', 'win', 'smoke', 'fathers', 'killer', 'archfiend', 'feng']"
3100,3100,3100,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,three days of the condor,AA,117 min,"['crime', 'mystery', 'thriller']",7.4,"A bookish CIA researcher in Manhattan finds all his co-workers dead, and must outwit those responsible until he figures out who he can really trust.",sydney pollack,"('Robert Redford',), ('Faye Dunaway',), ('Cliff Robertson',), ('Max von Sydow',)","55,797",$41.51M,"['bookish', 'cia', 'researcher', 'manhattan', 'finds', 'coworkers', 'dead', 'must', 'outwit', 'responsible', 'figures', 'really', 'trust']"
3101,3101,3101,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,kill the irishman,18,106 min,"['biography', 'crime', 'drama']",7.0,"The true story of Danny Greene, a tough Irish thug working for mobsters in Cleveland during the 1970's.",jonathan hensleigh,"('Ray Stevenson',), ('Christopher Walken',), (""Vincent D'Onofrio"",), ('Val Kilmer',)","48,688",$1.19M,"['true', 'story', 'danny', 'greene', 'tough', 'irish', 'thug', 'working', 'mobsters', 'cleveland', '1970s']"
3102,3102,3102,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,the wages of fear,A,131 min,"['adventure', 'drama', 'thriller']",8.2,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",henri-georges clouzot,"('Yves Montand',), ('Charles Vanel',), ('Peter van Eyck',), ('Folco Lulli',)","60,898",,"['decrepit', 'south', 'american', 'village', 'four', 'men', 'hired', 'transport', 'urgent', 'nitroglycerine', 'shipment', 'without', 'equipment', 'would', 'make', 'safe']"
3103,3103,3103,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,varsity blues,15,106 min,"['comedy', 'drama', 'romance']",6.5,A back-up quarterback is chosen to lead a Texas football team to victory after the star quarterback is injured.,brian robbins,"('James Van Der Beek',), ('Jon Voight',), ('Paul Walker',), ('Ron Lester',)","46,142",$52.89M,"['backup', 'quarterback', 'chosen', 'lead', 'texas', 'football', 'team', 'victory', 'star', 'quarterback', 'injured']"
